epoch,accuracy,loss,val_accuracy,val_loss
0,0.9419053196907043,0.2511770725250244,0.9843417406082153,0.051009345799684525
1,0.9849491119384766,0.09626796096563339,0.9840689301490784,0.05042801797389984
2,0.9874665141105652,0.08216854929924011,0.9869092702865601,0.04162559285759926
3,0.9888365268707275,0.07178393006324768,0.9902822375297546,0.03156186267733574
4,0.9902004599571228,0.061265867203474045,0.9833588004112244,0.047465674579143524
5,0.9905452132225037,0.058860763907432556,0.9877837300300598,0.03637893125414848
6,0.9912183284759521,0.053266655653715134,0.9892368316650391,0.03269031271338463
7,0.9910901188850403,0.054052434861660004,0.9895524382591248,0.031663600355386734
8,0.9912285804748535,0.05195236578583717,0.9914854168891907,0.026664597913622856
9,0.9913786053657532,0.05104771628975868,0.9890724420547485,0.033401068300008774
10,0.9914608001708984,0.049942679703235626,0.9900422692298889,0.030452530831098557
11,0.9917554259300232,0.04741707071661949,0.9914690256118774,0.02590233087539673
12,0.9918667674064636,0.047595102339982986,0.9928333163261414,0.021661579608917236
13,0.9922025203704834,0.044575098901987076,0.9895721077919006,0.030363740399479866
14,0.991939127445221,0.046014364808797836,0.9926163554191589,0.02236109972000122
15,0.9921996593475342,0.04504622519016266,0.9892598390579224,0.03216144070029259
16,0.9918828010559082,0.04632994160056114,0.9896740317344666,0.03149024397134781
17,0.9924877285957336,0.04322464019060135,0.9927938580513,0.021966250613331795
18,0.9926804304122925,0.043086592108011246,0.9915873408317566,0.025809260085225105
19,0.9924067258834839,0.043672893196344376,0.993497371673584,0.01982889696955681
20,0.9927650690078735,0.04171251878142357,0.9935861229896545,0.019255727529525757
21,0.9924498796463013,0.042395126074552536,0.992438793182373,0.022680237889289856
