epoch,accuracy,loss,val_accuracy,val_loss
0,0.9429226517677307,0.28366851806640625,0.9788841009140015,0.0619543194770813
1,0.9841434955596924,0.10457771271467209,0.9847052693367004,0.04802384600043297
2,0.9874817728996277,0.07995183765888214,0.9856526255607605,0.04237932339310646
3,0.9891729354858398,0.06581507623195648,0.9868074655532837,0.03854546323418617
4,0.9899739623069763,0.05820217356085777,0.9888039231300354,0.03180892392992973
5,0.990760326385498,0.051809024065732956,0.9893989562988281,0.030575165525078773
6,0.9907216429710388,0.051923125982284546,0.9892580509185791,0.030226832255721092
7,0.9909995794296265,0.0503191314637661,0.9884946942329407,0.03245040029287338
8,0.9914228916168213,0.04766073822975159,0.9913680553436279,0.025909626856446266
9,0.9913235306739807,0.047231946140527725,0.9909883737564087,0.02522193267941475
10,0.9913812875747681,0.046903032809495926,0.9918496012687683,0.02338392660021782
11,0.9914835691452026,0.045534539967775345,0.990154504776001,0.027460433542728424
12,0.9916020035743713,0.043664298951625824,0.990201473236084,0.02740882709622383
13,0.9921593070030212,0.04294740408658981,0.9928908944129944,0.020259348675608635
14,0.9924411773681641,0.041142240166664124,0.9919474720954895,0.023459192365407944
15,0.9928238391876221,0.038452401757240295,0.9916930198669434,0.023992836475372314
16,0.9931869506835938,0.03665532171726227,0.9927029609680176,0.021547341719269753
17,0.9931017756462097,0.03678438067436218,0.9921470880508423,0.023292768746614456
18,0.9925165772438049,0.038775019347667694,0.992268443107605,0.02155531570315361
19,0.9931727647781372,0.0346478708088398,0.9930827021598816,0.01979941502213478
20,0.9932955503463745,0.034794632345438004,0.9924837350845337,0.02108430117368698
21,0.9931409358978271,0.035497888922691345,0.9926559925079346,0.021258452907204628
22,0.993463933467865,0.033758100122213364,0.9918104410171509,0.023138275370001793
23,0.9930587410926819,0.036716364324092865,0.9928204417228699,0.020828386768698692
24,0.993513822555542,0.03353431820869446,0.9922958612442017,0.021883323788642883
25,0.9935417175292969,0.03426845371723175,0.9932549595832825,0.019700756296515465
26,0.9938088655471802,0.03231506422162056,0.9942179918289185,0.017275825142860413
27,0.9939209818840027,0.030277397483587265,0.9921940565109253,0.021226759999990463
28,0.9935926198959351,0.03256670758128166,0.989367663860321,0.028913483023643494
29,0.9934365153312683,0.03299636021256447,0.9930357336997986,0.019617076963186264
30,0.9936997890472412,0.03213774040341377,0.9933488965034485,0.018857503309845924
31,0.9939723610877991,0.03074479103088379,0.9934624433517456,0.01961660385131836
32,0.9942165017127991,0.02989286370575428,0.9939400553703308,0.017955821007490158
33,0.9942781925201416,0.030262982472777367,0.9940496683120728,0.018282638862729073
34,0.9941949844360352,0.031114919111132622,0.9945624470710754,0.016384392976760864
35,0.9943466782569885,0.030652735382318497,0.994335412979126,0.017014261335134506
36,0.9940800070762634,0.03192056342959404,0.992538571357727,0.021573467180132866
37,0.9942767024040222,0.02990853041410446,0.9927812814712524,0.021247955039143562
38,0.9945213794708252,0.0293168593198061,0.9932392835617065,0.020511142909526825
39,0.9942742586135864,0.029544545337557793,0.9942101240158081,0.017352566123008728
40,0.994332492351532,0.02964971773326397,0.9948874115943909,0.015371705405414104
41,0.9940163493156433,0.030983097851276398,0.9944372177124023,0.016481179744005203
42,0.99456787109375,0.028462957590818405,0.9945781230926514,0.016393104568123817
