dataset,primary_dataset,minp_gev,maxp_gev,depth,nfiles_total,nfiles_read,nlumis,events_tried,events_passed,events_stored,efficiency,efficiency_err,only_filter_is_cosmicInTracker,status
/CosmicToMu_Par-MinP-4250-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-4250-MinTheta-91-MaxTheta-179_cosmuogen,4250,,none,23,5,52,2810912,51774,51774,0.01841893,0.00008020,yes,ok
/CosmicToMu_Par-MinP-42500-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-42500-MinTheta-91-MaxTheta-179_cosmuogen,42500,,none,31,5,35,2502021,33713,33713,0.01347431,0.00007289,yes,ok
/CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,4500,,e2,23,5,55,4095410,55339,55339,0.01351244,0.00005705,yes,ok
/CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,4500,,e3,23,5,55,4106245,55489,55489,0.01351332,0.00005698,yes,ok
/CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,4500,,e4,23,5,55,4109215,54874,54874,0.01335389,0.00005662,yes,ok
/CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,4500,,e5,23,5,55,3845435,51153,51153,0.01330227,0.00005842,yes,ok
/CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen,4500,,e6,38,5,454,3563900,48119,48119,0.01350178,0.00006113,yes,ok
/CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-4500-MinTheta-91-MaxTheta-179_cosmuogen,4500,,none,24,5,55,2906970,53533,53533,0.01841539,0.00007886,yes,ok
/CosmicToMu_Par-MinP-45000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-45000-MinTheta-91-MaxTheta-179_cosmuogen,45000,,none,35,5,36,2168640,29158,29158,0.01344529,0.00007821,yes,ok
/CosmicToMu_Par-MinP-4750-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-4750-MinTheta-91-MaxTheta-179_cosmuogen,4750,,none,23,5,55,2986995,55272,55272,0.01850422,0.00007798,yes,ok
