,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v26/EaDM_Run3_Cosmics_Data_All_RNNSR.root,hpass,Run3_Cosmics_Data_All_RNNSR,Run-3 Cosmics,,,,,,
1,Signal_M3000GeV_e4_RNNSR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v26/EaDM_Signal_M3000GeV_e4_RNNSR.root,hpass,Signal_M3000GeV_e4_RNNSR,DM signal,,1.05,,lnN,,
2,Signal_M3000GeV_e4_RNNSR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v26/EaDM_Signal_M3000GeV_e4_RNNSR.root,hpass,Signal_M3000GeV_e4_RNNSR,DM signal,,,,,,
3,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v26/EaDM_Run3_Cosmics_Data_All_RNNSR.root,hfail,Run3_Cosmics_Data_All_RNNSR,Run-3 Cosmics,,,,,,
4,Signal_M3000GeV_e4_RNNSR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v26/EaDM_Signal_M3000GeV_e4_RNNSR.root,hfail,Signal_M3000GeV_e4_RNNSR,DM signal,,1.05,,lnN,,
5,Signal_M3000GeV_e4_RNNSR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v26/EaDM_Signal_M3000GeV_e4_RNNSR.root,hfail,Signal_M3000GeV_e4_RNNSR,DM signal,,,,,,
