,process,region,binning,color,process_type,scale,variation,source_filename,source_histname,alias,title,combine_idx,lnN,shapes,syst_type,direction,variation_alias
0,data_obs,pass,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Run3_Cosmics_Data_SR.root,hpass,Run3_Cosmics_Data_SR,Run3_Cosmics_Data_SR,,,,,,
33,Signal_M1200GeV_SR,pass,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hpass,Signal_M1200GeV_SR,DM signal,,1.05,,lnN,,
34,Signal_M1200GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hpass_RNNsyst_up,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
35,Signal_M1200GeV_SR,pass,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hpass_RNNsyst_down,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
36,Signal_M1200GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hpass_pTsyst_up,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
37,Signal_M1200GeV_SR,pass,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hpass_pTsyst_down,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
38,Signal_M1200GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hpass_t0syst_up,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
39,Signal_M1200GeV_SR,pass,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hpass_t0syst_down,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
40,Signal_M1200GeV_SR,pass,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hpass,Signal_M1200GeV_SR,DM signal,,,,,,
401,data_obs,fail,default,black,DATA,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Run3_Cosmics_Data_SR.root,hfail,Run3_Cosmics_Data_SR,Run3_Cosmics_Data_SR,,,,,,
434,Signal_M1200GeV_SR,fail,default,red,SIGNAL,1.0,lumi,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hfail,Signal_M1200GeV_SR,DM signal,,1.05,,lnN,,
435,Signal_M1200GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hfail_RNNsyst_up,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Up,RNNsyst
436,Signal_M1200GeV_SR,fail,default,red,SIGNAL,1.0,RNN,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hfail_RNNsyst_down,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Down,RNNsyst
437,Signal_M1200GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hfail_pTsyst_up,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Up,pTsyst
438,Signal_M1200GeV_SR,fail,default,red,SIGNAL,1.0,pT,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hfail_pTsyst_down,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Down,pTsyst
439,Signal_M1200GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hfail_t0syst_up,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Up,t0syst
440,Signal_M1200GeV_SR,fail,default,red,SIGNAL,1.0,t0,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hfail_t0syst_down,Signal_M1200GeV_SR,DM signal,,,1.0,shapes,Down,t0syst
441,Signal_M1200GeV_SR,fail,default,red,SIGNAL,1.0,nominal,./histograms_for_2DAlphabet_v20/EaDM_Signal_M1200GeV_SR.root,hfail,Signal_M1200GeV_SR,DM signal,,,,,,
