,process,region,obj,norm,process_type,color,combine_idx,title
0,Background,fail,,,BKG,yellow,,Background
1,Background_0x0,pass,,,BKG,yellow,,Background
2,Background_1x0,pass,,,BKG,yellow,,Background
3,Background_0x1,pass,,,BKG,yellow,,Background
4,Background_1x1,pass,,,BKG,yellow,,Background
5,Background_2x0,pass,,,BKG,yellow,,Background
6,Background_2x1,pass,,,BKG,yellow,,Background
7,Background_2x2,pass,,,BKG,yellow,,Background
8,Background_expo,pass,,,BKG,yellow,,Background
